age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
23,M,434,4,4,3.8,0.98936170212766,0,0.15,0.037037037037037,0.075,0.947368421052632,0.592592592592593,0.761904761904762,0.134020618556701,0.666666666666667,-0.0419932810750281,0.592592592592593,0.611904761904762,0.096983581519664,0.591666666666667,0.982300884955752,0.340425531914894,0.463414634146341,0.112903225806452,0.397727272727273,2,102.746250296089,0.866351740777389,0.0685582040675611,-1.52856250488332,0.0631864685946646,0.357951329937748,0.59375,0.568287037037037,0.505376344086022,0.75,0.740740740740741,0.210526315789474,0.4375,0.395833333333333,1,0.966666666666667,1,0.0384615384615385,0,0.222222222222222,0,0.0476190476190476,0,NaN,0.909090909090909,1,0.6,0.555555555555556,0.705882352941177,0.0714285714285714,0.428571428571429,0.428571428571429,10.7243961740583,4.94946106993353,7.8102750753615,7.17090297064106,4.62379492083696,5.88559306243222
32,f,480,3,2,3.8,0.980769230769231,0.96,0,0.0833333333333333,0.470588235294118,1,1,0,0,0.464285714285714,0.0192307692307693,0.04,0,-0.0833333333333333,-0.00630252100840334,0.985294117647059,0.980392156862745,0,0.0147058823529412,0.467289719626168,1,118.033192799309,0.594705760312631,0.0629732144398243,-3.25147748007299,0.000574034351519814,0.437348300970874,0.55650623885918,0.410714285714286,0.718446601941748,0.803921568627451,0.5,0.15625,0.309090909090909,0.321428571428571,1,0.972222222222222,0.923076923076923,0.513513513513513,0.833333333333333,0,0.0833333333333333,0.0833333333333333,0,1,1,1,0.363636363636364,0.444444444444444,0.514285714285714,0,0,0,8.7311979033052,8.2537335046596,8.47923779847903,11.9728980498263,10.2782843145734,11.0786427805635
37,m,409,2,5,3.9,0.989130434782609,0.9,0.818181818181818,0.0416666666666667,0.857142857142857,0.904761904761905,0.523809523809524,1,0.021978021978022,0.761904761904762,-0.0843685300207039,-0.376190476190476,0.181818181818182,-0.0196886446886447,-0.0952380952380952,0.973451327433628,0.707317073170732,0.906976744186046,0.0260869565217391,0.80952380952381,2,104.512038975043,2.35423013553555,0.0794197761796564,0.646327762018181,0.740966443869844,0.562271062271062,0.539198606271777,0.639652014652015,0.791208791208791,0.785714285714286,0.916666666666667,0.333333333333333,0.292682926829268,0.362637362637363,0.98,1,1,0.846153846153846,1,0.666666666666667,0.0666666666666667,0,0,1,1,0.866666666666667,1,0.777777777777778,0.703703703703704,0,0,0.0714285714285714,2.51224911607272,1.17977041466873,1.85455129550793,7.52414763245715,5.08381605305976,6.31962499390844
31,m,421,1,3,3.9,1,0.833333333333333,0.0454545454545455,0.136363636363636,0.456521739130435,1,0.875,1,0.043956043956044,0.948717948717949,0,0.0416666666666666,0.954545454545455,-0.0924075924075924,0.492196209587514,1,0.85,0.533333333333333,0.0619469026548673,0.682352941176471,2,84.2836875045017,0.08679677693228,0.0851519070361823,-1.99099076443931,0.0232409513018622,0.551484230055659,0.532329988851728,0.642424242424242,0.693877551020408,0.782608695652174,0.818181818181818,0.409090909090909,0.282051282051282,0.466666666666667,1,1,1,0.379310344827586,0.6,0.571428571428571,0.2,0,0,NaN,1,1,1,1,0.925925925925926,0.133333333333333,0.0666666666666667,0.0666666666666667,9.98716182481724,5.37204778239804,7.78811061965198,7.56993361582732,5.56048459307469,6.61245320373203
39,m,422,4,11,3.8,1,0.04,0.461538461538462,0,0.254901960784314,1,0.454545454545455,0.842105263157895,0.0759493670886076,0.634146341463415,0,0.414545454545455,0.380566801619433,0.0759493670886076,0.379244380679101,1,0.234042553191489,0.622222222222222,0.0588235294117647,0.423913043478261,2,80.9984296049933,0.996176209072408,0.0815522647132433,-2.00392706416768,0.0225389369640322,0.414772727272727,0.549512195121951,0.522289488167309,0.602272727272727,0.66,0.652173913043478,0.227272727272727,0.439024390243902,0.392405063291139,1,1,1,0.214285714285714,0.333333333333333,0.272727272727273,0,0,0,NaN,1,1,0.666666666666667,0.6,0.633333333333333,0.0625,0.1875,0.0625,10.0152221175486,4.73593537283832,7.54001554543852,6.98234238607859,4.70525061832964,5.91472231136351
23,m,447,2,2,3.8,0.990476190476191,0.428571428571429,0.28,0.0869565217391304,0.347826086956522,1,0.333333333333333,0.296296296296296,0,0.313725490196078,0.00952380952380949,-0.0952380952380952,0.0162962962962963,-0.0869565217391304,-0.0341005967604433,0.991935483870968,0.377777777777778,0.288461538461538,0.0175438596491228,0.329896907216495,1,87.6736000887273,1.09934651715113,0.0731411874716365,-3.36778523897292,0.000378872985594914,0.369123931623932,0.476342710997442,0.48494983277592,0.682692307692308,0.717391304347826,0.739130434782609,0.0555555555555556,0.235294117647059,0.230769230769231,1,1,0.9375,0.428571428571429,0.181818181818182,0.285714285714286,0.0555555555555556,0.0555555555555556,0,NaN,1,1,0.166666666666667,0.181818181818182,0.363636363636364,0,0,0,8.58970169424992,8.33369207625062,8.46666423604727,11.8588244907278,10.2776324310902,11.0989083068422
34,m,437,3,4,3.8,1,1,0,0,0.511627906976744,1,0.869565217391304,0.954545454545455,0.0106382978723404,0.911111111111111,0,-0.130434782608696,0.954545454545455,0.0106382978723404,0.399483204134367,1,0.933333333333333,0.488372093023256,0.00869565217391304,0.715909090909091,2,65.4218947269109,0.144862446251626,0.10453381990478,-1.8701337377813,0.0307326242335111,0.564114832535885,0.577431289640592,0.65450861195542,0.673684210526316,0.813953488372093,0.904761904761905,0.454545454545455,0.340909090909091,0.404255319148936,1,1,1,0.392857142857143,0.625,0.857142857142857,0,0,0,1,1,1,1,0.909090909090909,0.884615384615385,0.0769230769230769,0,0,9.98435779384301,5.44447726455336,7.7073460641993,7.58832029869692,5.50852882019568,6.54518500885673
55,m,427,0,4,3.8,0.990291262135922,0.96,0,0,0.452830188679245,0.9,0.909090909090909,0.888888888888889,0.0121951219512195,0.9,-0.0902912621359223,-0.0509090909090909,0.888888888888889,0.0121951219512195,0.447169811320755,0.975609756097561,0.936170212765957,0.347826086956522,0.00909090909090909,0.645161290322581,2,89.7286660031106,0.415848002833412,0.0834754542994311,-1.8981107638106,0.02884074626738,0.478921568627451,0.514858490566038,0.632936507936508,0.607843137254902,0.754716981132076,0.821428571428571,0.35,0.275,0.444444444444444,0.98,1,1,0.371428571428571,0.428571428571429,0.727272727272727,0,0,0,1,0.888888888888889,0.9,0.75,1,0.931034482758621,0,0.0909090909090909,0,10.3343228388748,5.0009446341492,8.01119490920908,7.3060193117762,4.92634062735137,6.26947215475679
34,f,363,2,7,3.8,1,0.217391304347826,0.954545454545455,0.0555555555555556,0.577777777777778,1,0.9375,1,0.0163934426229508,0.970588235294118,0,0.720108695652174,0.0454545454545454,-0.0391621129326047,0.39281045751634,1,0.512820512820513,0.975,0.0253164556962025,0.746835443037975,1,65.8612644215345,2.7183100741075,0.0947199660884228,0.812127567854247,0.791640781978558,0.626376988984088,0.496212121212121,0.706739526411658,0.779069767441861,0.659090909090909,0.888888888888889,0.473684210526316,0.333333333333333,0.524590163934426,1,1,1,0.653846153846154,0.272727272727273,0.75,0,0.1,0,1,1,1,1,0.833333333333333,1,0,0,0,1.71243993130927,0.923201354082106,1.37033651760624,11.527019944261,9.80920017724926,10.7824136574194
21,m,443,4,7,3.8,1,0.344827586206897,0.259259259259259,0.0357142857142857,0.303571428571429,1,0.956521739130435,0.777777777777778,0.0217391304347826,0.86,0,0.611694152923538,0.518518518518519,-0.0139751552795031,0.556428571428571,1,0.615384615384615,0.518518518518518,0.025,0.566037735849057,2,91.66203551405,0.713216175678905,0.082660614938681,-2.48433987511187,0.00648959325037679,0.519489247311828,0.5125,0.592185592185592,0.580645161290323,0.625,0.777777777777778,0.458333333333333,0.4,0.406593406593407,1,1,1,0.25,0.384615384615385,0.428571428571429,0,0.0833333333333333,0,NaN,1,1,1,0.909090909090909,0.777777777777778,0,0.153846153846154,0,9.27898794231026,5.51726134584321,7.45844387521542,7.41357068341097,5.53418048174289,6.50401157706432
34,m,383,3,7,3.7,1,1,0.75,0.666666666666667,0.885714285714286,1,0.941176470588235,0.777777777777778,0.0795454545454545,0.857142857142857,0,-0.0588235294117647,0.0277777777777778,-0.587121212121212,-0.0285714285714286,1,0.972222222222222,0.764705882352941,0.15,0.871428571428571,1,129.112731666577,1.70985824806619,0.0622400219368429,1.05618368083803,0.854557847507437,0.617105263157895,0.602941176470588,0.727272727272727,0.934210526315789,0.911764705882353,1,0.3,0.294117647058824,0.454545454545455,1,1,1,0.954545454545455,0.666666666666667,1,0.5,0.5,0,1,1,1,1,1,0.807692307692308,0,0.142857142857143,0.357142857142857,0.987951029258143,0.379538020605654,0.660871855433684,10.3327264462211,8.94550489536772,9.58696448467208
35,f,440,2,5,3.9,1,1,0.269230769230769,0,0.612244897959184,1,1,1,0.0357142857142857,1,0,0,0.730769230769231,0.0357142857142857,0.387755102040816,1,1,0.612244897959184,0.0275229357798165,0.793478260869565,2,62.9412564835637,-0.296028236115118,0.109275351475706,-2.38214169165815,0.00860613662073006,0.612828947368421,0.593507751937984,0.674285714285714,0.663157894736842,0.791666666666667,0.92,0.5625,0.395348837209302,0.428571428571429,1,1,1,0.558823529411765,0.75,0.666666666666667,0,0,0,NaN,1,1,1,1,1,0,0.428571428571429,0,9.45083400287046,5.67619951018911,7.71426094553463,7.64953536628928,5.81421531547775,6.80517087006928
42,f,478,7,16,3.6,0.938775510204082,0.318181818181818,0.08,0.0869565217391304,0.191489361702128,0.892857142857143,0.76,0.103448275862069,0.045045045045045,0.407407407407407,-0.0459183673469388,0.441818181818182,0.023448275862069,-0.0419114766940854,0.21591804570528,0.928571428571429,0.553191489361702,0.0925925925925926,0.0522388059701493,0.306930693069307,1,137.139630158087,0.994162987917357,0.0499650002905755,-3.66115277530903,0.000125541487582759,0.364874815905744,0.485547972701726,0.518213866039953,0.515463917525773,0.74468085106383,0.739130434782609,0.214285714285714,0.226415094339623,0.297297297297297,0.895833333333333,0.96969696969697,1,0.166666666666667,0.333333333333333,0.2,0.0769230769230769,0.0769230769230769,0,NaN,0.888888888888889,0.888888888888889,0.454545454545455,0.25,0.428571428571429,0.0588235294117647,0.117647058823529,0.117647058823529,8.27925728026641,8.14008608681913,8.20485273640125,9.87487999348463,9.01032400926467,9.41266585233656
24,Male,438,2,4,3.9,1,0.956521739130435,0.0833333333333333,0.0476190476190476,0.51063829787234,1,0.95,0.952380952380952,0.0108695652173913,0.951219512195122,0,-0.00652173913043486,0.869047619047619,-0.0367494824016563,0.440581214322782,1,0.953488372093023,0.488888888888889,0.0176991150442478,0.715909090909091,2,63.2584868835392,0.0788013587973501,0.106519436672177,-2.226768582167,0.0129813720814377,0.610450563204005,0.53995848469123,0.602564102564103,0.691489361702128,0.787234042553192,0.80952380952381,0.529411764705882,0.292682926829268,0.395604395604396,1,1,1,0.428571428571429,0.625,0.636363636363636,0,0.0769230769230769,0,NaN,1,1,1,1,0.956521739130435,0,0.125,0,9.62609873012947,5.6281871410699,7.71016665869517,7.69015802432357,5.24956673928178,6.52054558740258
22,m,535,5,3,3.8,0.972477064220184,0.172413793103448,0.037037037037037,0.032258064516129,0.107142857142857,1,0.275862068965517,0,0.00826446280991736,0.131147540983607,0.0275229357798165,0.103448275862069,-0.037037037037037,-0.0239936017062117,0.0240046838407494,0.97841726618705,0.224137931034483,0.0169491525423729,0.0131578947368421,0.11965811965812,1,114.829150833314,2.39305278930097,0.0710678820994536,-1.65576293221302,0.0488849185814629,0.303975535168196,0.397466467958271,0.438709677419355,0.541284403669725,0.581818181818182,0.67741935483871,0.0666666666666667,0.213114754098361,0.2,0.982142857142857,0.967741935483871,0.952380952380952,0.0857142857142857,0.166666666666667,0.111111111111111,0.0555555555555556,0,0,1,1,1,0.0769230769230769,0.153846153846154,0.147058823529412,0,0,0.0625,10.8311249968375,4.44818906558022,7.51450142471364,11.9464026365449,9.99741344632248,10.9336925671156
35,m,478,6,6,3.8,1,0.178571428571429,0.0909090909090909,0.0357142857142857,0.14,0.958333333333333,0.875,0.0769230769230769,0.0285714285714286,0.46,-0.0416666666666666,0.696428571428571,-0.013986013986014,-0.00714285714285714,0.32,0.991803278688525,0.5,0.0833333333333333,0.0300751879699248,0.3,1,102.831069559906,1.05125667500813,0.0654351742034814,-3.40288226476693,0.000333395034176287,0.371993127147766,0.5,0.402472527472527,0.577319587628866,0.68,0.535714285714286,0.166666666666667,0.32,0.269230769230769,1,1,1,0.148148148148148,0,0.142857142857143,0,0.0555555555555556,0,NaN,1,0.941176470588235,0.444444444444444,0.636363636363636,0.4,0,0.133333333333333,0,8.55053920511686,8.19616731699831,8.37185591505145,11.8945108519795,9.83430027149933,10.8557004466106
33,m,427,2,1,3.9,1,0.8,0,0.0740740740740741,0.4,1,1,1,0.0526315789473684,1,0,0.2,1,-0.0214424951267057,0.6,1,0.893617021276596,0.444444444444444,0.058252427184466,0.673913043478261,2,77.1457282900944,-0.094876181663864,0.0936924936011577,-1.86940321254987,0.03078336898621,0.55995145631068,0.522380952380952,0.704444444444444,0.669902912621359,0.64,0.888888888888889,0.45,0.404761904761905,0.52,1,1,1,0.484848484848485,0.166666666666667,0.4,0.0555555555555556,0.0555555555555556,0,NaN,1,1,1,1,1,0,0.272727272727273,0.0909090909090909,10.4928231448096,5.40102755789541,8.29010279686552,7.58587088907443,5.12406622976567,6.52088956310387
27,Male,499,4,3,3.9,0.990990990990991,0.115384615384615,0.0333333333333333,0,0.0714285714285714,1,1,0.631578947368421,0.0192307692307692,0.833333333333333,0.00900900900900903,0.884615384615385,0.598245614035088,0.0192307692307692,0.761904761904762,0.992537313432836,0.530612244897959,0.26530612244898,0.0152671755725191,0.397959183673469,2,82.1832491367106,1.29311989143895,0.0852340249903698,-2.22222668227436,0.0131339950595232,0.313636363636364,0.526785714285714,0.507834757834758,0.490909090909091,0.767857142857143,0.592592592592593,0.136363636363636,0.285714285714286,0.423076923076923,1,0.976744186046512,1,0,0.125,0.153846153846154,0,0,0,NaN,1,1,0.75,0.833333333333333,0.84375,0,0.0555555555555556,0,10.3960566242482,4.77170774848983,7.7775581118428,7.30622069612524,5.05960003516556,6.26027333606412
35,m,460,1,1,4,1,0.833333333333333,0.0434782608695652,0.0454545454545455,0.446808510638298,1,1,0.714285714285714,0.01,0.846153846153846,0,0.166666666666667,0.670807453416149,-0.0354545454545455,0.399345335515548,1,0.916666666666667,0.411764705882353,0.0163934426229508,0.656565656565657,1,87.8511110407453,0.258741276943852,0.0855901670861696,-2.17978251522971,0.0146367933055866,0.479166666666667,0.528368794326241,0.588636363636364,0.708333333333333,0.723404255319149,0.727272727272727,0.25,0.333333333333333,0.45,1,1,1,0.5,0.454545454545455,0.142857142857143,0,0.0714285714285714,0,NaN,1,1,0.857142857142857,0.909090909090909,0.823529411764706,0,0,0,10.3806339231599,5.80903360611357,8.02799750269161,12.0202309211091,10.242749333156,11.1055035542092
