age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
32,Male,318,3,5,2.8,1,0,0.0833333333333333,0,0.037037037037037,1,0.0588235294117647,0.8,0.0166666666666667,0.40625,0,0.0588235294117647,0.716666666666667,0.0166666666666667,0.369212962962963,1,0.03125,0.481481481481481,0.0126582278481013,0.23728813559322,2,32.1747664459442,1.7768218185836,0.103791550702005,-2.51527197489105,0.00594702948010228,-2.63279735828713,0.00423424282757534,0.424547283702213,0.51099537037037,0.434433541480821,0.563380281690141,0.740740740740741,0.631578947368421,0.285714285714286,0.28125,0.23728813559322,1,1,1,0.05,0,0,0,0,0,NaN,1,1,0.666666666666667,0.6,0.285714285714286,0,0,0,12.0951983844443,6.79543126160751,9.58727287095903,7.43488198783393,4.64859346425908,6.11637045435655
20,p,308,4,11,2.6,1,0.533333333333333,0.214285714285714,0.142857142857143,0.379310344827586,1,1,0.0625,0.0133333333333333,0.516129032258065,0,0.466666666666667,-0.151785714285714,-0.12952380952381,0.136818687430478,1,0.766666666666667,0.133333333333333,0.0337078651685393,0.45,1,49.3313527125223,-1.95229887381253,0.055441907675794,-2.43458494966205,0.007454439917218,-2.87654721443782,0.002010260214312,0.421774193548387,0.508342602892102,0.532818532818533,0.693548387096774,0.758620689655172,0.714285714285714,0.15,0.258064516129032,0.351351351351351,1,1,1,0.444444444444444,0.2,0.333333333333333,0.1,0,0,NaN,1,1,0.666666666666667,0.6,0.478260869565217,0.0588235294117647,0,0,17.1092178845167,17.8288352674615,17.5000445666333,9.56158312284807,8.65780530882363,9.07073827557617
27,f,276,0,0,2.7,1,1,0,0,0.5,1,1,0.933333333333333,0.037037037037037,0.961538461538462,0,0,0.933333333333333,0.037037037037037,0.461538461538462,1,1,0.466666666666667,0.0294117647058824,0.714285714285714,2,20.5016716103981,-4.1803857616912,0.0891736798761546,-2.05498295371532,0.019940325601233,-2.53011170178393,0.00570131093837362,0.57258064516129,0.586870026525199,0.654986522911051,0.645161290322581,0.827586206896552,0.857142857142857,0.5,0.346153846153846,0.452830188679245,1,1,1,0.434782608695652,0.75,0.666666666666667,0,0,0,1,1,1,0.833333333333333,1,1,0.142857142857143,0,0,23.5140964557773,12.7408758778403,18.4506827841469,7.42793048764029,5.21276765776249,6.38680395759772
29,f,266,1,2,2.7,1,1,0.5,0.181818181818182,0.777777777777778,0.866666666666667,1,1,0.157894736842105,1,-0.133333333333333,0,0.5,-0.0239234449760766,0.222222222222222,0.96969696969697,1,0.76,0.161764705882353,0.896551724137931,2,61.5292265762308,-2.21513391939442,0.0663890150427537,-3.00503025334936,0.00132777217287994,-3.69064151702917,0.000111844599284094,0.646666666666667,0.702508960573477,0.75,0.76,0.888888888888889,1,0.533333333333333,0.516129032258065,0.5,1,1,1,0.777777777777778,0.714285714285714,1,0.2,0,0,NaN,1,0.75,1,1,1,0.222222222222222,0.222222222222222,0.444444444444444,13.7795056942533,9.14638255159458,11.2940281750145,7.27218175400688,4.8709345710891,5.98401269233745
45,f,291,0,1,2.8,1,0.0588235294117647,0.1,0.1875,0.0810810810810811,1,1,1,0.0181818181818182,1,0,0.941176470588235,0.9,-0.169318181818182,0.918918918918919,1,0.466666666666667,0.485714285714286,0.0563380281690141,0.476923076923077,1,58.4213127514594,-0.0168937508782419,0.0767041797458464,-1.99096255463586,0.0232425020492419,-2.08366515355769,0.0185953180078431,0.340909090909091,0.683183183183183,0.6,0.5,0.810810810810811,0.8,0.181818181818182,0.555555555555556,0.4,1,1,1,0.0344827586206897,0.25,0,0.181818181818182,0.0909090909090909,0,1,1,1,1,1,1,0,0,0,12.1145560660813,6.81595589696747,9.86085282672968,11.554634780461,10.0343055384534,10.90797890377
42,m,332,0,1,2.8,1,1,0,0,0.457142857142857,1,1,0.111111111111111,0.0142857142857143,0.578947368421053,0,0,0.111111111111111,0.0142857142857143,0.121804511278196,1,1,0.0540540540540541,0.0112359550561798,0.520547945205479,2,40.3436603692585,-6.52533809451675,0.0744619414876871,-1.40814190800036,0.0795445268870751,-2.49373267608616,0.00632038527275408,0.431111111111111,0.543609022556391,0.590579710144927,0.64,0.771428571428571,0.833333333333333,0.222222222222222,0.315789473684211,0.347826086956522,1,1,1,0.391304347826087,0.333333333333333,0.666666666666667,0,0,0,NaN,1,1,0.5,0.714285714285714,0.565217391304348,0,0,0,46.062472534128,24.0016727759052,35.161842065359,7.1001294812759,4.57395842867086,5.85190378469459
31,f,278,7,5,2.8,0.970149253731343,0.230769230769231,0.529411764705882,0.0555555555555556,0.4,1,1,1,0.16,1,0.0298507462686567,0.769230769230769,0.470588235294118,0.104444444444444,0.6,0.975,0.615384615384615,0.714285714285714,0.132352941176471,0.666666666666667,2,64.9911493257552,-0.832241256159827,0.06314519740757,-2.53874485588477,0.00556254617402702,-2.69208053055796,0.00355038985706291,0.494755244755245,0.554166666666667,0.692176870748299,0.681818181818182,0.566666666666667,0.833333333333333,0.307692307692308,0.541666666666667,0.551020408163265,1,0.933333333333333,0.923076923076923,0.388888888888889,0.285714285714286,0.6,0,0.1,0,NaN,1,1,1,1,1,0.1,0.5,0.2,12.4507226936258,7.24033640709429,10.2066454316048,7.32285614509084,4.78619120728397,6.23033213722353
44,m,306,4,5,2.8,0.986486486486487,0.588235294117647,0.0588235294117647,0,0.323529411764706,1,0.769230769230769,0.9375,0.0526315789473684,0.862068965517241,0.0135135135135135,0.180995475113122,0.878676470588235,0.0526315789473684,0.538539553752535,0.989130434782609,0.666666666666667,0.484848484848485,0.04,0.571428571428571,2,47.1737225096592,-1.39495951689741,0.0783839322915753,-2.07008224857278,0.0192223214604109,-2.33231701156923,0.00984201012461544,0.433409436834094,0.56237322515213,0.713293650793651,0.589041095890411,0.676470588235294,0.944444444444444,0.277777777777778,0.448275862068966,0.482142857142857,0.975609756097561,1,1,0.15,0.375,0.833333333333333,0,0,0,NaN,1,1,0.833333333333333,1,0.833333333333333,0,0.166666666666667,0.0833333333333333,17.1464728838973,9.21471839603469,13.5599404198203,7.77979372966693,5.71308555245884,6.84528220605979
31,m,278,1,4,2.6,1,0.176470588235294,0.333333333333333,0.142857142857143,0.25,1,0.75,0.333333333333333,0.0188679245283019,0.518518518518518,0,0.573529411764706,0,-0.123989218328841,0.268518518518518,1,0.413793103448276,0.333333333333333,0.0447761194029851,0.372881355932203,1,55.3044067858675,-0.471519393371086,0.0636089133542832,-2.65026799714084,0.0040213972289263,-2.86806707619782,0.0020649398337878,0.421610169491525,0.500597371565114,0.549450549450549,0.593220338983051,0.741935483870968,0.714285714285714,0.25,0.259259259259259,0.384615384615385,1,1,1,0.25,0.375,0,0.1,0.1,0,1,1,1,0.5,0.2,0.611111111111111,0,0.1,0,12.696074316851,12.5548569824698,12.6286272317734,10.7421402154961,9.79567962994805,10.2900993388164
45,f,264,3,16,2.6,0.984126984126984,0.294117647058824,0.0625,0,0.181818181818182,1,1,1,0.0961538461538462,1,0.0158730158730159,0.705882352941176,0.9375,0.0961538461538462,0.818181818181818,0.986111111111111,0.586206896551724,0.482758620689655,0.0714285714285714,0.53448275862069,2,36.7754284257082,-2.47542071663768,0.0780458731009535,-2.28578041048872,0.0111335541368002,-2.77328249813495,0.00277469615595716,0.473118279569892,0.498181818181818,0.477124183006536,0.612903225806452,0.636363636363636,0.444444444444444,0.333333333333333,0.36,0.509803921568627,1,0.952380952380952,1,0.222222222222222,0.25,0.0909090909090909,0,0,0,NaN,1,1,1,1,1,0.25,0.125,0.125,22.4711340390354,11.7539271635588,17.8627350825805,6.68841037845566,4.69195439939776,5.82993430746076
26,m,306,2,2,2.8,1,0,0,0.0952380952380952,0,0.933333333333333,0.533333333333333,0.9375,0.0508474576271186,0.741935483870968,-0.0666666666666667,0.533333333333333,0.9375,-0.0443906376109766,0.741935483870968,0.989247311827957,0.266666666666667,0.454545454545455,0.0625,0.365079365079365,2,62.1880649348176,0.519531393087749,0.0726527184897331,-2.11459808969184,0.0172321083110544,-2.19712149053633,0.0140058853362117,0.428205128205128,0.511458333333333,0.503389830508475,0.58974358974359,0.65625,0.6,0.266666666666667,0.366666666666667,0.406779661016949,1,1,1,0,0,0,0.166666666666667,0,0,NaN,1,0.875,0.666666666666667,0.6,0.8,0,0.222222222222222,0.111111111111111,12.5081828986973,6.55398636131205,9.85907003248774,7.8493079055939,5.57797134692657,6.83875562313598
41,m,257,0,0,2.7,1,1,0.0588235294117647,0,0.542857142857143,1,1,1,0.0612244897959184,1,0,0,0.941176470588235,0.0612244897959184,0.457142857142857,1,1,0.36,0.0461538461538462,0.703703703703704,2,20.7231777905266,-4.20559371976849,0.0874307709381912,-1.82803019509556,0.0337725100378998,-2.26237457106281,0.0118371353292227,0.486352357320099,0.55,0.661989795918367,0.741935483870968,0.6,0.875,0.230769230769231,0.5,0.448979591836735,1,1,1,0.65,0.3,0.6,0,0,0,NaN,1,1,1,1,1,0,0.1,0.2,23.5100670355637,12.6588767148172,19.0026495177152,8.18875575107003,5.3611848633009,7.01422630538131
48,m,313,8,14,2.8,1,1,0.157894736842105,0,0.529411764705882,1,0.705882352941177,0.769230769230769,0,0.733333333333333,0,-0.294117647058823,0.611336032388664,0,0.203921568627451,1,0.84375,0.40625,0,0.625,2,43.7036184113276,-1.14866987007475,0.0930890859998738,-3.01895672746061,0.00126823378829083,-3.66800020173263,0.000122227495650495,0.516901408450704,0.497058823529412,0.615476190476191,0.633802816901408,0.794117647058823,0.85,0.4,0.2,0.380952380952381,1,1,1,0.541666666666667,0.571428571428571,0,0,0,0,1,1,1,0.714285714285714,1,0.666666666666667,0,0,0,13.4499185627645,9.16279270745851,11.4614218894524,7.05042964690987,5.12982425885021,6.1595956584056
34,m,303,3,6,2.8,1,0.176470588235294,0.0625,0.0555555555555556,0.121212121212121,1,1,0.888888888888889,0.0175438596491228,0.931034482758621,0,0.823529411764706,0.826388888888889,-0.0380116959064327,0.809822361546499,1,0.5,0.5,0.0266666666666667,0.5,1,43.9654322305143,-0.55065750107334,0.0847343928523473,-2.1907316393157,0.0142356090475997,-2.35876128170223,0.0091680233680787,0.51984126984127,0.408568443051202,0.666666666666667,0.53968253968254,0.575757575757576,0.833333333333333,0.5,0.241379310344828,0.5,1,1,1,0.181818181818182,0,0,0.0833333333333333,0,0,1,1,1,1,1,0.894736842105263,0,0.125,0,14.1605409630073,8.43948609610287,11.4713815324808,11.1781529689945,9.62671117130462,10.4489038290665
25,m,264,1,2,2.7,0.980392156862745,1,0.846153846153846,0.153846153846154,0.92,1,1,1,0.0307692307692308,1,0.0196078431372549,0,0.153846153846154,-0.123076923076923,0.08,0.985294117647059,1,0.923076923076923,0.0512820512820513,0.962264150943396,2,37.7083533566687,-2.18496666178167,0.0952649798561113,-3.25127177746877,0.000574449871097393,-4.07766293669939,2.27453247763632e-05,0.615882352941176,0.596428571428571,0.71875,0.82,0.8,1,0.411764705882353,0.392857142857143,0.4375,0.96551724137931,1,1,0.857142857142857,1,1,0.142857142857143,0.142857142857143,0,1,1,1,1,1,1,0,0.1,0,10.726131466116,8.49547537866116,9.4931054881259,7.33583546045135,5.25581355164499,6.18607460633728
42,f,355,6,5,2.7,0.958333333333333,0,0.115384615384615,0,0.0612244897959184,1,0.0476190476190476,0.666666666666667,0.027027027027027,0.333333333333333,0.0416666666666666,0.0476190476190476,0.551282051282051,0.027027027027027,0.272108843537415,0.965909090909091,0.0227272727272727,0.340909090909091,0.0206185567010309,0.181818181818182,2,59.5455331384442,1.66392683264531,0.0854174861172772,-2.56222170760403,0.00520024509429046,-2.72348789515903,0.00322982913827935,0.263644366197183,0.388278388278388,0.361226920786182,0.464788732394366,0.571428571428571,0.434782608695652,0.0625,0.205128205128205,0.287671232876712,1,0.931034482758621,0.909090909090909,0.04,0.0833333333333333,0,0,0,0,NaN,1,1,0.25,0.428571428571429,0.321428571428571,0,0,0.0833333333333333,12.2655550972408,7.48130834398358,10.0048670709764,6.9988209467989,5.02646634622423,6.06682921246142
37,f,333,6,7,2.6,0.951612903225806,0.4,0.384615384615385,0.230769230769231,0.392857142857143,1,0,0,0,0,0.0483870967741935,-0.4,-0.384615384615385,-0.230769230769231,-0.392857142857143,0.96551724137931,0.171428571428571,0.142857142857143,0.0294117647058824,0.157142857142857,1,53.8165609715999,-0.236564371072249,0.0640505901243921,-2.76876642205115,0.00281344797259525,-3.31701014778032,0.00045493155860149,0.36258064516129,0.498644986449864,0.54019014693172,0.645161290322581,0.777777777777778,0.923076923076923,0.08,0.219512195121951,0.157303370786517,0.939393939393939,1,1,0.380952380952381,0.25,0.666666666666667,0.125,0.25,0,1,1,1,0,0,0,0,0,0,14.0062038627059,19.0197304583539,17.0259341674205,9.08327089942505,8.97877602894441,9.02033190407763
41,m,307,4,4,2.8,1,0,0.176470588235294,0.235294117647059,0.0909090909090909,1,0,0.714285714285714,0,0.333333333333333,0,0,0.53781512605042,-0.235294117647059,0.242424242424242,1,0,0.419354838709677,0.0571428571428571,0.206349206349206,1,55.4473603726914,1.63008175083066,0.0797321646055602,-2.74386123150712,0.0030360600111507,-2.7348790124512,0.00312016040419749,0.469230769230769,0.421630094043887,0.416759156492786,0.630769230769231,0.636363636363636,0.588235294117647,0.307692307692308,0.206896551724138,0.245283018867925,1,1,1,0.105263157894737,0,0.125,0.3,0.1,0,NaN,1,1,0.8,0.142857142857143,0.294117647058824,0,0,0,9.05783427323442,7.04471605004225,8.14623356839268,10.8204849460349,9.90284946254273,10.4049518969064
